cgpa,aptitude_score,technical_skills,internships,projects,communication_score,backlogs,certifications,placed
8.3,64,10,0,0,9,0,3,1
8.91,90,2,1,1,5,0,5,1
7.42,53,6,0,4,10,3,3,0
6.84,78,10,2,1,5,0,0,1
5.82,84,4,3,4,8,1,3,0
8.11,69,6,2,1,5,2,2,0
9.16,79,10,3,4,8,2,4,1
5.83,82,7,2,2,10,0,0,1
5.2,86,8,2,3,9,1,1,0
7.45,74,3,1,1,5,3,0,0
7.22,60,9,3,2,8,3,2,1
8.03,94,7,2,2,7,0,1,1
7.12,70,3,3,0,7,1,4,0
6.17,66,8,1,1,4,2,1,0
6.01,85,2,0,4,8,2,1,0
6.25,87,8,3,1,9,1,4,1
7.53,54,2,1,4,10,0,2,1
7.55,83,7,0,1,9,2,1,0
7.19,60,4,3,4,6,2,5,0
8.75,89,7,1,5,6,3,2,1
5.51,65,6,1,2,6,1,0,0
5.86,89,10,3,1,8,1,3,1
5.7,54,6,1,4,10,0,2,0
5.6,64,3,0,4,10,2,1,0
7.89,87,8,1,5,9,2,1,1
7.56,82,7,1,0,8,0,0,1
8.34,70,2,2,0,6,1,2,0
8.62,77,3,2,0,9,1,0,1
5.09,54,10,0,4,4,2,2,0
9.35,78,5,3,5,4,2,3,1
8.04,86,5,0,0,5,1,5,0
9.19,81,7,0,4,7,0,3,1
8.43,54,8,3,1,5,1,4,1
5.29,43,6,0,4,8,0,3,0
7.64,52,3,3,0,9,3,2,0
6.89,64,8,3,4,10,1,5,1
9.23,63,9,3,1,5,0,5,1
8.03,94,4,2,5,4,2,4,1
5.29,79,3,3,2,10,3,1,0
9.08,76,8,2,1,5,0,1,1
6.84,83,7,3,4,4,0,2,1
8.07,47,2,2,5,8,0,1,1
7.05,95,6,3,5,5,1,3,1
8.9,50,4,2,5,6,0,3,1
7.83,66,10,0,2,9,3,4,1
8.51,85,3,0,1,7,3,0,0
7.4,40,9,2,4,6,1,1,1
5.42,58,5,3,3,4,1,3,0
9.38,50,6,2,3,10,1,0,1
9.09,76,5,3,4,6,2,0,1
7.18,79,7,3,3,9,0,0,1
6.98,70,9,0,1,8,0,3,1
6.93,56,2,2,3,4,1,0,0
9.07,62,5,0,2,7,1,4,1
9.23,80,8,1,0,6,3,0,0
5.31,67,9,0,3,7,1,4,0
9.22,77,3,0,3,8,0,4,1
6.2,78,2,1,5,4,0,3,0
8.86,59,3,0,2,5,1,1,0
5.61,75,7,1,4,9,1,1,0
7.81,90,5,1,0,7,1,2,0
6.59,45,6,1,4,4,1,3,0
6.19,52,6,1,1,4,3,1,0
6.31,61,5,1,4,5,1,5,0
7.55,59,9,3,4,5,0,2,1
5.26,50,9,0,0,8,3,3,0
6.38,42,4,3,3,7,2,3,0
6.58,67,5,0,1,7,1,1,0
9.09,89,10,2,2,9,2,4,1
6.41,48,2,1,3,5,2,5,0
7.42,50,2,0,4,4,3,2,0
7.76,56,10,1,2,8,3,3,1
6.01,74,10,0,3,9,0,0,1
5.74,49,5,1,4,10,0,1,0
7.59,44,6,0,5,7,1,4,0
7.34,64,4,1,2,7,2,0,0
7.73,49,6,1,3,6,2,0,0
9.35,57,6,1,1,6,2,2,0
7.27,71,9,2,1,6,0,0,1
6.18,41,4,1,0,7,0,2,0
8.99,47,8,1,3,4,0,5,1
7.32,78,5,1,4,9,3,1,0
